epoch,step,train_loss
6,49,0.993820309638977
12,99,1.3356235027313232
18,149,1.2167773246765137
24,199,1.323521375656128
31,249,1.0192409753799438
37,299,1.2481818199157715
43,349,1.1611522436141968
49,399,1.2487064599990845
56,449,1.0481481552124023
62,499,1.1951513290405273
68,549,1.1318957805633545
74,599,1.2079780101776123
81,649,1.0740582942962646
87,699,1.1607728004455566
93,749,1.1190184354782104
99,799,1.1861473321914673
106,849,1.0948563814163208
112,899,1.1370242834091187
118,949,1.115232229232788
124,999,1.1744328737258911
131,1049,1.110774040222168
137,1099,1.1201117038726807
143,1149,1.1159300804138184
149,1199,1.1681448221206665
156,1249,1.122686743736267
162,1299,1.107971429824829
168,1349,1.1184946298599243
174,1399,1.1647992134094238
181,1449,1.1314723491668701
187,1499,1.0992742776870728
193,1549,1.1215664148330688
199,1599,1.163059949874878
206,1649,1.1378682851791382
212,1699,1.0930805206298828
218,1749,1.124509572982788
224,1799,1.1621968746185303
231,1849,1.1424667835235596
237,1899,1.0887020826339722
243,1949,1.1270732879638672
249,1999,1.161808729171753
256,2049,1.145734429359436
262,2099,1.085632562637329
268,2149,1.129197120666504
274,2199,1.161673665046692
281,2249,1.1480300426483154
287,2299,1.0834990739822388
293,2349,1.1309068202972412
299,2399,1.1616696119308472
306,2449,1.1496260166168213
312,2499,1.0820289850234985
318,2549,1.1322598457336426
324,2599,1.1617295742034912
331,2649,1.1507242918014526
337,2699,1.0810253620147705
343,2749,1.133319616317749
349,2799,1.1618170738220215
356,2849,1.1514723300933838
362,2899,1.0803465843200684
368,2949,1.1341450214385986
374,2999,1.161912441253662
381,3049,1.1519768238067627
387,3099,1.0798921585083008
393,3149,1.134785532951355
399,3199,1.1620053052902222
406,3249,1.152313232421875
412,3299,1.0795912742614746
418,3349,1.1352819204330444
424,3399,1.162090539932251
431,3449,1.1525347232818604
437,3499,1.0793946981430054
443,3549,1.1356663703918457
449,3599,1.1621662378311157
456,3649,1.1526784896850586
462,3699,1.079267978668213
468,3749,1.1359641551971436
474,3799,1.1622319221496582
481,3849,1.1527702808380127
487,3899,1.0791881084442139
493,3949,1.1361949443817139
499,3999,1.1622878313064575
506,4049,1.1528276205062866
512,4099,1.0791388750076294
518,4149,1.13637375831604
524,4199,1.1623347997665405
531,4249,1.1528621912002563
537,4299,1.0791096687316895
543,4349,1.1365127563476562
549,4399,1.1623737812042236
556,4449,1.1528820991516113
562,4499,1.0790932178497314
568,4549,1.1366205215454102
574,4599,1.1624059677124023
581,4649,1.152892827987671
587,4699,1.0790847539901733
593,4749,1.1367042064666748
599,4799,1.1624324321746826
606,4849,1.1528977155685425
612,4899,1.0790811777114868
618,4949,1.1367692947387695
624,4999,1.1624537706375122
631,5049,1.1528992652893066
637,5099,1.079080581665039
643,5149,1.1368199586868286
649,5199,1.162471055984497
656,5249,1.1528987884521484
662,5299,1.0790815353393555
668,5349,1.13685941696167
674,5399,1.1624850034713745
681,5449,1.1528972387313843
687,5499,1.0790833234786987
693,5549,1.1368900537490845
699,5599,1.1624960899353027
706,5649,1.152895212173462
712,5699,1.0790855884552002
718,5749,1.1369138956069946
724,5799,1.162505030632019
731,5849,1.15289306640625
737,5899,1.0790876150131226
743,5949,1.136932611465454
749,5999,1.1625123023986816
756,6049,1.1528912782669067
762,6099,1.0790892839431763
768,6149,1.1369470357894897
774,6199,1.16251802444458
781,6249,1.1528894901275635
787,6299,1.0790910720825195
793,6349,1.136958360671997
799,6399,1.162522554397583
806,6449,1.1528878211975098
812,6499,1.0790927410125732
818,6549,1.1369669437408447
824,6599,1.1625258922576904
831,6649,1.1528863906860352
837,6699,1.0790941715240479
843,6749,1.1369738578796387
849,6799,1.1625287532806396
856,6849,1.1528853178024292
862,6899,1.0790953636169434
868,6949,1.136979341506958
874,6999,1.1625311374664307
881,7049,1.1528844833374023
887,7099,1.0790958404541016
893,7149,1.1369836330413818
899,7199,1.1625328063964844
906,7249,1.152883768081665
912,7299,1.079096794128418
918,7349,1.1369869709014893
924,7399,1.162534236907959
931,7449,1.1528829336166382
937,7499,1.0790972709655762
943,7549,1.1369893550872803
949,7599,1.1625351905822754
956,7649,1.1528820991516113
962,7699,1.0790979862213135
968,7749,1.136991024017334
974,7799,1.1625360250473022
981,7849,1.1528818607330322
987,7899,1.0790985822677612
993,7949,1.136992335319519
999,7999,1.1625365018844604
